site,x,y,z
V0142,587199.9091909033,3342220.371034871,387.83538818359375
V0143,652329.9091909033,3342220.371034871,512.3594360351562
V0144,542979.9091909033,3342190.371034871,282.4358215332031
V0145,600399.9091909033,3342190.371034871,677.0950317382812
V0146,605469.9091909033,3342160.371034871,713.7424926757812
V0147,612009.9091909033,3342160.371034871,477.9542541503906
V0148,575439.9091909033,3342130.371034871,402.77886962890625
V0149,642039.9091909033,3342130.371034871,721.517578125
V0150,655449.9091909033,3342130.371034871,454.1585998535156
V0151,602109.9091909033,3342070.371034871,401.0203857421875
V0152,639609.9091909033,3342070.371034871,748.3773803710938
V0153,669609.9091909033,3342070.371034871,486.26641845703125
V0154,572169.9091909033,3342040.371034871,307.643798828125
V0155,614619.9091909033,3342040.371034871,723.6238403320312
V0156,589929.9091909033,3342010.371034871,268.5033874511719
V0157,667569.9091909033,3342010.371034871,697.8665771484375
V0158,609759.9091909033,3341980.371034871,295.19085693359375
V0159,625059.9091909033,3341980.371034871,551.1283569335938
V0160,552429.9091909033,3341950.371034871,586.1126708984375
V0161,577659.9091909033,3341950.371034871,418.5953369140625
V0162,662379.9091909033,3341950.371034871,691.8310546875
V0163,592479.9091909033,3340600.371034871,409.9626159667969
V0164,662499.9091909033,3340600.371034871,527.7074584960938
V0165,555009.9091909033,3340570.371034871,286.287841796875
V0166,560229.9091909033,3340540.371034871,388.9196472167969
V0167,665289.9091909033,3340510.371034871,644.0122680664062
V0168,547119.9091909033,3340480.371034871,254.55015563964844
V0169,629619.9091909033,3340480.371034871,548.5308837890625
V0170,644709.9091909033,3340480.371034871,386.1096496582031
V0171,672849.9091909033,3340480.371034871,983.796875
V0172,647109.9091909033,3340450.371034871,416.1041564941406
V0173,657099.9091909033,3340450.371034871,744.0424194335938
V0174,650439.9091909033,3340390.371034871,596.6467895507812
V0175,550479.9091909033,3340360.371034871,329.1900939941406
V0176,577149.9091909033,3340300.371034871,427.16925048828125
V0177,597819.9091909033,3340300.371034871,652.9456176757812
V0178,625509.9091909033,3340300.371034871,441.2559814453125
V0179,564459.9091909033,3340240.371034871,589.1310424804688
V0180,566949.9091909033,3340240.371034871,568.9520263671875
V0181,575349.9091909033,3340150.371034871,680.8446655273438
V0182,584529.9091909033,3340150.371034871,420.7626953125
V0183,594429.9091909033,3340150.371034871,494.6078796386719
V0184,607689.9091909033,3340150.371034871,1008.34375
V0185,637899.9091909033,3340150.371034871,1252.47265625
V0186,641919.9091909033,3340150.371034871,364.1966247558594
V0187,600549.9091909033,3340120.371034871,457.4200744628906
V0188,580479.9091909033,3340090.371034871,531.6704711914062
V0189,605589.9091909033,3340000.371034871,446.7862243652344
V0190,626889.9091909033,3340000.371034871,685.674560546875
V0191,602349.9091909033,3339940.371034871,325.7813415527344
V0192,623049.9091909033,3339940.371034871,290.4483947753906
V0193,669429.9091909033,3339880.371034871,592.4340209960938
V0194,660549.9091909033,3339850.371034871,451.39007568359375
V0195,667869.9091909033,3339820.371034871,599.8303833007812
V0196,572289.9091909033,3339730.371034871,668.7847290039062
