site,x,y,z
V0084,616809.9091909033,3346090.371034871,437.0157775878906
V0085,656799.9091909033,3346090.371034871,610.863525390625
V0086,560709.9091909033,3346030.371034871,658.4793090820312
V0087,566769.9091909033,3346030.371034871,763.6444702148438
V0088,613299.9091909033,3346030.371034871,256.3111877441406
V0089,621399.9091909033,3346030.371034871,558.1445922851562
V0090,649269.9091909033,3346030.371034871,554.6416625976562
V0091,569259.9091909033,3345970.371034871,969.5348510742188
V0092,564129.9091909033,3345940.371034871,957.583984375
V0093,608949.9091909033,3345940.371034871,322.914794921875
V0094,633849.9091909033,3345940.371034871,374.4352722167969
V0095,641139.9091909033,3345940.371034871,708.35693359375
V0096,605769.9091909033,3345910.371034871,754.8417358398438
V0097,570789.9091909033,3345880.371034871,824.0924682617188
V0098,628359.9091909033,3345850.371034871,529.4483032226562
V0099,638349.9091909033,3345820.371034871,636.478759765625
V0100,591609.9091909033,3345790.371034871,191.63253784179688
V0101,659109.9091909033,3345790.371034871,892.82958984375
V0102,558909.9091909033,3345760.371034871,401.01885986328125
V0103,586539.9091909033,3345760.371034871,427.6885986328125
V0104,666519.9091909033,3345760.371034871,625.3681640625
V0105,623979.9091909033,3345730.371034871,530.5005493164062
V0106,596319.9091909033,3345700.371034871,588.4317626953125
V0107,583749.9091909033,3345670.371034871,519.184814453125
V0108,593739.9091909033,3345670.371034871,246.87074279785156
V0109,558579.9091909033,3344320.371034871,544.3353881835938
V0110,591369.9091909033,3344320.371034871,472.3196716308594
V0111,623859.9091909033,3344320.371034871,549.8069458007812
V0112,658929.9091909033,3344320.371034871,763.726806640625
V0113,593739.9091909033,3344290.371034871,689.4259033203125
V0114,563619.9091909033,3344260.371034871,917.4837646484375
V0115,570939.9091909033,3344260.371034871,424.77349853515625
V0116,633609.9091909033,3344260.371034871,373.5465393066406
V0117,576159.9091909033,3344230.371034871,307.1365051269531
V0118,636609.9091909033,3344230.371034871,789.0386352539062
V0119,545859.9091909033,3344200.371034871,245.1533660888672
V0120,656619.9091909033,3344200.371034871,810.9014282226562
V0121,556209.9091909033,3344170.371034871,509.4591369628906
V0122,569229.9091909033,3344110.371034871,591.3108520507812
V0123,548229.9091909033,3344050.371034871,299.8314514160156
V0124,600699.9091909033,3343960.371034871,624.8052978515625
V0125,618789.9091909033,3343960.371034871,412.3702697753906
V0126,631359.9091909033,3343960.371034871,352.28790283203125
V0127,660669.9091909033,3343930.371034871,573.092529296875
V0128,668259.9091909033,3343930.371034871,755.8660888671875
V0129,584319.9091909033,3343870.371034871,513.154052734375
V0130,604299.9091909033,3343870.371034871,405.2950439453125
V0131,665679.9091909033,3343870.371034871,625.2127685546875
V0132,605799.9091909033,3343810.371034871,847.2048950195312
V0133,638709.9091909033,3343810.371034871,1131.547119140625
V0134,615729.9091909033,3343780.371034871,430.9011535644531
V0135,671589.9091909033,3343780.371034871,507.4617004394531
V0136,581829.9091909033,3343750.371034871,534.30517578125
V0137,598149.9091909033,3343750.371034871,465.8093566894531
V0138,588819.9091909033,3343720.371034871,608.9601440429688
V0139,573939.9091909033,3343660.371034871,350.8981018066406
V0140,643179.9091909033,3343660.371034871,379.0516662597656
V0141,566529.9091909033,3343630.371034871,926.50830078125
V0142,578799.9091909033,3343630.371034871,354.8898010253906
V0143,608439.9091909033,3343600.371034871,524.1271362304688
V0144,628179.9091909033,3343600.371034871,445.9099426269531
V0145,674319.9091909033,3343570.371034871,817.2945556640625
V0146,611619.9091909033,3343540.371034871,382.9683532714844
V0147,621789.9091909033,3343510.371034871,338.07891845703125
V0148,648249.9091909033,3343480.371034871,710.1812133789062
V0149,614229.9091909033,3343420.371034871,574.0821533203125
V0150,554229.9091909033,3343390.371034871,563.3765869140625
V0151,596709.9091909033,3343390.371034871,721.1094970703125
V0152,641409.9091909033,3343390.371034871,703.4008178710938
V0153,561699.9091909033,3343360.371034871,826.8173217773438
V0154,585789.9091909033,3343360.371034871,480.62298583984375
V0155,646659.9091909033,3343330.371034871,493.01300048828125
V0156,664119.9091909033,3343300.371034871,616.0377197265625
V0157,543609.9091909033,3343270.371034871,234.26258850097656
V0158,651009.9091909033,3343270.371034871,568.4251708984375
V0159,653739.9091909033,3343270.371034871,715.0319213867188
V0160,551259.9091909033,3343240.371034871,283.0075378417969
V0161,626049.9091909033,3343240.371034871,587.7453002929688
V0162,676539.9091909033,3343240.371034871,1003.29931640625
V0163,568719.9091909033,3341830.371034871,415.2105407714844
V0164,596409.9091909033,3341830.371034871,404.36907958984375
V0165,623559.9091909033,3341830.371034871,515.4918823242188
V0166,671379.9091909033,3341830.371034871,430.8069763183594
V0167,630999.9091909033,3341800.371034871,335.1592712402344
V0168,626109.9091909033,3341770.371034871,795.6103515625
V0169,643449.9091909033,3341770.371034871,464.42791748046875
V0170,668919.9091909033,3341770.371034871,521.6155395507812
V0171,576309.9091909033,3341740.371034871,483.5756530761719
V0172,658389.9091909033,3341740.371034871,780.4293823242188
V0173,553359.9091909033,3341710.371034871,370.17938232421875
V0174,674169.9091909033,3341680.371034871,1356.065673828125
V0175,604179.9091909033,3341650.371034871,432.9692077636719
V0176,621009.9091909033,3341650.371034871,297.58892822265625
V0177,551619.9091909033,3341620.371034871,592.5969848632812
V0178,571269.9091909033,3341560.371034871,312.1746520996094
V0179,600729.9091909033,3341560.371034871,663.6956787109375
V0180,608229.9091909033,3341560.371034871,725.5466918945312
V0181,664239.9091909033,3341560.371034871,457.78961181640625
V0182,636699.9091909033,3341530.371034871,831.9632568359375
V0183,578199.9091909033,3341500.371034871,429.8817138671875
V0184,589179.9091909033,3341500.371034871,257.1977233886719
V0185,566229.9091909033,3341470.371034871,738.5296020507812
V0186,584289.9091909033,3341470.371034871,540.1026000976562
V0187,549309.9091909033,3341440.371034871,357.90142822265625
V0188,591699.9091909033,3341440.371034871,289.7442932128906
V0189,593169.9091909033,3341410.371034871,475.62152099609375
V0190,598179.9091909033,3341380.371034871,725.894775390625
V0191,638169.9091909033,3341380.371034871,1078.5474853515625
V0192,675669.9091909033,3341380.371034871,1311.813720703125
V0193,611799.9091909033,3341350.371034871,520.6307373046875
V0194,561669.9091909033,3341320.371034871,624.2272338867188
V0195,646839.9091909033,3341260.371034871,447.0894775390625
V0196,546789.9091909033,3341230.371034871,265.1593933105469
V0197,585939.9091909033,3341230.371034871,435.2109069824219
V0198,666099.9091909033,3341230.371034871,784.1417236328125
V0199,661809.9091909033,3341140.371034871,668.5095825195312
V0200,629319.9091909033,3341080.371034871,719.3024291992188
V0201,641199.9091909033,3341020.371034871,740.9780883789062
V0202,555999.9091909033,3340990.371034871,233.14199829101562
V0203,613839.9091909033,3340930.371034871,1046.149658203125
V0204,650829.9091909033,3340930.371034871,548.0565185546875
V0205,559209.9091909033,3340900.371034871,398.8266296386719
