site,x,y,z
V0151,625359.9091909033,3343360.371034871,493.1365966796875
V0152,542079.9091909033,3343330.371034871,227.16957092285156
V0153,597429.9091909033,3343330.371034871,781.142333984375
V0154,674589.9091909033,3343330.371034871,1023.93408203125
V0155,647889.9091909033,3343300.371034871,740.0306396484375
V0156,544659.9091909033,3343270.371034871,287.83538818359375
V0157,577479.9091909033,3343270.371034871,273.0498046875
V0158,580059.9091909033,3343240.371034871,381.6156005859375
V0159,662799.9091909033,3343240.371034871,406.53143310546875
V0160,554799.9091909033,3343180.371034871,674.5946655273438
V0161,657579.9091909033,3343180.371034871,787.0665283203125
V0162,607479.9091909033,3343150.371034871,746.6163330078125
V0163,557319.9091909033,3341830.371034871,344.8205261230469
V0164,562599.9091909033,3341830.371034871,769.7658081054688
V0165,577389.9091909033,3341830.371034871,446.404052734375
V0166,589869.9091909033,3341830.371034871,285.4836730957031
V0167,652359.9091909033,3341830.371034871,477.6287841796875
V0168,662439.9091909033,3341830.371034871,691.07080078125
V0169,552279.9091909033,3341800.371034871,625.0996704101562
V0170,565239.9091909033,3341800.371034871,660.9552612304688
V0171,659709.9091909033,3341770.371034871,553.0020751953125
V0172,647319.9091909033,3341740.371034871,534.9236450195312
V0173,642039.9091909033,3341650.371034871,525.710693359375
V0174,567519.9091909033,3341620.371034871,573.0004272460938
V0175,600459.9091909033,3341620.371034871,636.1575927734375
V0176,667839.9091909033,3341620.371034871,681.1605834960938
V0177,582849.9091909033,3341590.371034871,532.6902465820312
V0178,587409.9091909033,3341560.371034871,410.1954650878906
V0179,595029.9091909033,3341500.371034871,350.9347839355469
V0180,605529.9091909033,3341500.371034871,699.8538818359375
V0181,622929.9091909033,3341500.371034871,350.33294677734375
V0182,584409.9091909033,3341440.371034871,550.828857421875
V0183,619869.9091909033,3341440.371034871,393.0388488769531
V0184,639429.9091909033,3341440.371034871,722.9165649414062
V0185,675489.9091909033,3341440.371034871,1361.3302001953125
V0186,650229.9091909033,3341410.371034871,549.7282104492188
V0187,657519.9091909033,3341410.371034871,924.554931640625
V0188,547149.9091909033,3341380.371034871,402.2542724609375
